OBJECTID,DAUID,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID,ShapeSTArea,ShapeSTLength
23161,35180143,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.05,0008.05,35180028,71800.26239717,1162.97329822013
23162,35180144,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.05,0008.05,35180028,254073.16744957,2404.03537092914
23163,35180145,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.03,0008.03,35180034,215718.014962155,2518.9049256943
23164,35180400,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350805.18,0805.18,35180066,62010.35259969,1097.96436422788
23165,35180460,35,Ontario,3518,Durham,RM,3518001,Pickering,3518001,Pickering,CY,3530,Toronto,535,1,535,35535,Toronto,B,5350800.01,0800.01,35180072,139068.28835669,1882.14271835712
23166,35180643,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.02,0008.02,35180034,224542.061905425,2756.93325642089
23167,35180644,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.02,0008.02,35180034,223244.33893292,2287.53792156209
23168,35180645,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.01,0008.01,35180034,947720.43593296,7183.19072752528
23169,35180646,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.03,0008.03,35180034,247248.789688525,2152.74928686337
23170,35180647,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.03,0008.03,35180034,451474.104953465,4390.14256777049
23171,35180648,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.03,0008.03,35180034,165097.71040522,1891.52778547364
23172,35180649,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.03,0008.03,35180034,147393.71869631,1718.51775925144
23173,35180650,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.03,0008.03,35180034,178436.39714748,1990.44984156389
23174,35180651,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.03,0008.03,35180034,237939.449891865,2902.02025578407
23175,35180652,35,Ontario,3518,Durham,RM,3518017,Clarington,3518017,Clarington,MU,3530,Toronto,532,1,532,35532,Oshawa,B,5320202.04,0202.04,35180031,141799.70571676,1783.73385043796
23176,35180447,35,Ontario,3518,Durham,RM,3518001,Pickering,3518001,Pickering,CY,3530,Toronto,535,1,535,35535,Toronto,B,5350804.07,0804.07,35180071,377083.558259585,2668.35790970549
23177,35180448,35,Ontario,3518,Durham,RM,3518001,Pickering,3518001,Pickering,CY,3530,Toronto,535,1,535,35535,Toronto,B,5350804.11,0804.11,35180069,118650.78940348,2082.21251344293
23178,35180450,35,Ontario,3518,Durham,RM,3518001,Pickering,3518001,Pickering,CY,3530,Toronto,535,1,535,35535,Toronto,B,5350804.11,0804.11,35180069,464210.74392565,6306.91937684808
23179,35180451,35,Ontario,3518,Durham,RM,3518001,Pickering,3518001,Pickering,CY,3530,Toronto,535,1,535,35535,Toronto,B,5350804.11,0804.11,35180069,354270.38771397,2738.68068012543
23180,35180452,35,Ontario,3518,Durham,RM,3518001,Pickering,3518001,Pickering,CY,3530,Toronto,535,1,535,35535,Toronto,B,5350804.11,0804.11,35180069,41755.02790494,850.437299178526
23181,35180453,35,Ontario,3518,Durham,RM,3518001,Pickering,3518001,Pickering,CY,3530,Toronto,535,1,535,35535,Toronto,B,5350804.11,0804.11,35180069,228887.588085715,2599.6294346494
23182,35180454,35,Ontario,3518,Durham,RM,3518001,Pickering,3518001,Pickering,CY,3530,Toronto,535,1,535,35535,Toronto,B,5350800.02,0800.02,35180072,933398.026908975,4851.63794225683
23183,35180455,35,Ontario,3518,Durham,RM,3518001,Pickering,3518001,Pickering,CY,3530,Toronto,535,1,535,35535,Toronto,B,5350800.02,0800.02,35180072,132893.761653035,2038.51931576827
